sympy,natural_language
"ForAll(y, ((Equivalent(g(z, a) == w, g(z) == c)) & ((m(w) == u) | (V(x)))) | (((V(x, z, u)) | (g(u) == v)) & ((h(v) == y) & (Q(y, b, v)))))","For all y, g(z, a) equals w if and only if g(z) equals c and m(w) equals u or V of x or V of x and z and u or g(u) equals v and h(v) equals y and Q of y and b and v."
"Exists(y, h(a) == y)",There exists an y such that h(a) equals y.
"Exists(b, Exists(c, (~(Equivalent(h(z, c) == v, P(y, w, z)))) | (Equivalent((T(y)) | (P(c, x, v)), Implies(f(x) == w, R(v))))))","There exists an b such that There exists an c such that not (h(z, c) equals v if and only if P of y and w and z) or T of y or P of c and x and v if and only if If f(x) equals w, then R of v."
"Exists(u, Equivalent(Equivalent(Equivalent(g(v) == a, g(b) == a), Implies(h(a) == a, h(b) == z)), (Implies(k(y) == z, g(u, y) == u)) | (~(f(w) == x))))","There exists an u such that g(v) equals a if and only if g(b) equals a if and only if If h(a) equals a, then h(b) equals z if and only if If k(y) equals z, then g(u, y) equals u or not (f(w) equals x)."
"ForAll(a, h(c) == u)","For all a, h(c) equals u."
"(((k(v) == a) | (R(w, a))) & (Equivalent(f(b) == v, f(w) == x))) | (Equivalent(Equivalent(h(w, a) == y, m(a) == v), Implies(Q(x, u), R(y))))","k(v) equals a or R of w and a and f(b) equals v if and only if f(w) equals x or h(w, a) equals y if and only if m(a) equals v if and only if If Q of x and u, then R of y."
"Exists(v, Implies(m(x) == v, T(y)))","There exists an v such that If m(x) equals v, then T of y."
"Exists(u, Implies(f(w) == z, f(b) == b))","There exists an u such that If f(w) equals z, then f(b) equals b."
"ForAll(y, h(w) == c)","For all y, h(w) equals c."
"ForAll(w, ForAll(b, f(x) == u))","For all w, For all b, f(x) equals u."
"ForAll(v, (h(z, y) == z) & (k(c, u) == a))","For all v, h(z, y) equals z and k(c, u) equals a."
"Q(y, u)",Q of y and u.
"ForAll(y, (~(Equivalent(h(y, c) == w, V(c)))) & ((~(h(x) == a)) & ((R(v, b)) & (f(u) == y))))","For all y, not (h(y, c) equals w if and only if V of c) and not (h(x) equals a) and R of v and b and f(u) equals y."
"Exists(b, g(a, c) == y)","There exists an b such that g(a, c) equals y."
"(T(v, x)) | (W(v))",T of v and x or W of v.
U(b),U of b.
"k(x, z) == v","k(x, z) equals v."
k(b) == u,k(b) equals u.
"Exists(b, g(z) == y)",There exists an b such that g(z) equals y.
"Exists(z, Exists(z, (((h(b, x) == w) | (m(y, v) == c)) | ((R(w, b, x)) & (V(w, u, c)))) & (Implies((W(c, z)) | (h(a, c) == v), ~(m(a) == b)))))","There exists an z such that There exists an z such that h(b, x) equals w or m(y, v) equals c or R of w and b and x and V of w and u and c and If W of c and z or h(a, c) equals v, then not (m(a) equals b)."
"ForAll(v, ((k(y, v) == x) & (T(y))) | ((U(x, c)) | (g(v, z) == y)))","For all v, k(y, v) equals x and T of y or U of x and c or g(v, z) equals y."
"Exists(w, Exists(z, ~(g(a, c) == y)))","There exists an w such that There exists an z such that not (g(a, c) equals y)."
"Exists(y, Equivalent(R(a, u), h(v) == b))",There exists an y such that R of a and u if and only if h(v) equals b.
"Exists(u, (m(b, w) == a) | (k(x, c) == a))","There exists an u such that m(b, w) equals a or k(x, c) equals a."
"Exists(b, ~(Implies(f(z, a) == x, f(x) == v)))","There exists an b such that not (If f(z, a) equals x, then f(x) equals v)."
"ForAll(c, (~(S(c, z, v))) | ((g(z) == v) & (S(y, c))))","For all c, not (S of c and z and v) or g(z) equals v and S of y and c."
Q(b),Q of b.
"ForAll(z, Exists(v, Equivalent(Equivalent((g(c) == v) | (R(x, z)), Equivalent(S(b), h(y, b) == w)), (~(k(x) == v)) | (~(f(x, b) == x)))))","For all z, There exists an v such that g(c) equals v or R of x and z if and only if S of b if and only if h(y, b) equals w if and only if not (k(x) equals v) or not (f(x, b) equals x)."
"Equivalent((V(c, y)) | (R(w, c, u)), Implies(k(b) == a, T(z, w, v)))","V of c and y or R of w and c and u if and only if If k(b) equals a, then T of z and w and v."
"Exists(w, Q(y))",There exists an w such that Q of y.
"Exists(x, (R(a)) & (f(v) == y))",There exists an x such that R of a and f(v) equals y.
"ForAll(y, ForAll(y, Equivalent(k(c) == u, k(v, u) == u)))","For all y, For all y, k(c) equals u if and only if k(v, u) equals u."
"ForAll(w, ~(U(a)))","For all w, not (U of a)."
"Exists(y, ForAll(z, Equivalent(g(b) == c, m(y) == b)))","There exists an y such that For all z, g(b) equals c if and only if m(y) equals b."
"Exists(v, g(c) == w)",There exists an v such that g(c) equals w.
"ForAll(w, (~(Implies(f(c) == c, m(c) == y))) & ((~(h(w) == x)) & ((f(b) == y) & (f(y, b) == z))))","For all w, not (If f(c) equals c, then m(c) equals y) and not (h(w) equals x) and f(b) equals y and f(y, b) equals z."
"ForAll(v, (Implies(Equivalent(P(x), V(x, b, c)), (V(c, z)) | (Q(w, c)))) & (Implies(~(P(u)), (S(x)) | (R(b)))))","For all v, If P of x if and only if V of x and b and c, then V of c and z or Q of w and c and If not (P of u), then S of x or R of b."
"Exists(w, ForAll(c, Implies(f(y) == v, h(b) == v)))","There exists an w such that For all c, If f(y) equals v, then h(b) equals v."
"V(b, v)",V of b and v.
"ForAll(v, ForAll(b, Equivalent(S(y, w), S(b))))","For all v, For all b, S of y and w if and only if S of b."
"Exists(a, Implies((T(a)) | (f(a, b) == x), (m(v) == x) & (U(v, u, a))))","There exists an a such that If T of a or f(a, b) equals x, then m(v) equals x and U of v and u and a."
"Exists(z, V(v, b, u))",There exists an z such that V of v and b and u.
"((Implies(T(y, u), h(x, v) == w)) & (Equivalent(T(w), g(b, x) == b))) & ((Equivalent(P(y, v), f(z, v) == v)) & (~(P(u))))","If T of y and u, then h(x, v) equals w and T of w if and only if g(b, x) equals b and P of y and v if and only if f(z, v) equals v and not (P of u)."
"ForAll(x, (~((T(v, x, w)) & (m(u) == w))) & (Implies(~(S(w)), (f(v, z) == x) | (h(w, b) == v))))","For all x, not (T of v and x and w and m(u) equals w) and If not (S of w), then f(v, z) equals x or h(w, b) equals v."
"Exists(y, ForAll(z, U(u, a)))","There exists an y such that For all z, U of u and a."
"Exists(w, ForAll(b, V(c, y, a)))","There exists an w such that For all b, V of c and y and a."
"ForAll(c, Equivalent(Implies(S(w, u), h(u) == b), ~(W(u, b))))","For all c, If S of w and u, then h(u) equals b if and only if not (W of u and b)."
"ForAll(z, Equivalent(m(v) == v, f(a) == a))","For all z, m(v) equals v if and only if f(a) equals a."
"Exists(c, Exists(z, ~(~(Equivalent(f(x) == a, R(c))))))",There exists an c such that There exists an z such that not (not (f(x) equals a if and only if R of c)).
"Exists(v, Equivalent(U(y, x), U(b, a, w)))",There exists an v such that U of y and x if and only if U of b and a and w.
"Exists(b, Implies(Equivalent((P(w)) & (k(b, z) == c), (h(c) == c) | (h(w, z) == z)), ((f(v, z) == y) & (k(u, z) == v)) & (Equivalent(g(u) == c, P(c, u, x)))))","There exists an b such that If P of w and k(b, z) equals c if and only if h(c) equals c or h(w, z) equals z, then f(v, z) equals y and k(u, z) equals v and g(u) equals c if and only if P of c and u and x."
"ForAll(y, (f(b) == a) & (f(v) == y))","For all y, f(b) equals a and f(v) equals y."
"Exists(c, ((m(w) == x) & (U(u, x, w))) & ((g(v) == b) | (g(v, z) == u)))","There exists an c such that m(w) equals x and U of u and x and w and g(v) equals b or g(v, z) equals u."
"Exists(w, Equivalent(T(a, u), k(v) == u))",There exists an w such that T of a and u if and only if k(v) equals u.
"ForAll(z, (Implies(Equivalent(k(w, u) == a, U(y, w)), Implies(k(u, x) == v, P(c, w)))) | (((k(x, v) == b) | (f(b, a) == u)) & ((U(z, x, w)) & (Q(w, c)))))","For all z, If k(w, u) equals a if and only if U of y and w, then If k(u, x) equals v, then P of c and w or k(x, v) equals b or f(b, a) equals u and U of z and x and w and Q of w and c."
"ForAll(v, Implies(Implies(Equivalent(h(u, c) == x, Q(c, a, b)), ~(h(u) == u)), Implies((k(v) == y) | (V(x, c, w)), ~(g(w, a) == c))))","For all v, If If h(u, c) equals x if and only if Q of c and a and b, then not (h(u) equals u), then If k(v) equals y or V of x and c and w, then not (g(w, a) equals c)."
"ForAll(y, Equivalent((Equivalent(m(b, v) == c, f(a, w) == c)) & ((S(b, w)) & (m(v) == w)), Equivalent(Equivalent(m(y) == z, m(x) == b), Implies(g(w) == a, g(c, b) == w))))","For all y, m(b, v) equals c if and only if f(a, w) equals c and S of b and w and m(v) equals w if and only if m(y) equals z if and only if m(x) equals b if and only if If g(w) equals a, then g(c, b) equals w."
"(Implies((Q(z, u, b)) | (V(b)), (g(a, x) == v) | (h(c, w) == w))) & (Implies(Implies(m(b, c) == u, W(x)), Equivalent(Q(x, v), Q(c))))","If Q of z and u and b or V of b, then g(a, x) equals v or h(c, w) equals w and If If m(b, c) equals u, then W of x, then Q of x and v if and only if Q of c."
"(~((P(u, v)) & (k(w, a) == v))) | ((~(R(v, y))) | (~(h(b, u) == z)))","not (P of u and v and k(w, a) equals v) or not (R of v and y) or not (h(b, u) equals z)."
"Exists(w, ~(f(y, x) == z))","There exists an w such that not (f(y, x) equals z)."
"(~(k(b, w) == v)) | (Implies(T(z), m(b, v) == y))","not (k(b, w) equals v) or If T of z, then m(b, v) equals y."
"Implies((k(c) == u) | (g(u) == b), ~(h(w) == v))","If k(c) equals u or g(u) equals b, then not (h(w) equals v)."
"ForAll(w, Exists(u, ((h(x) == b) & (g(c, y) == x)) & (Implies(R(z, y, u), W(x)))))","For all w, There exists an u such that h(x) equals b and g(c, y) equals x and If R of z and y and u, then W of x."
"ForAll(b, ((m(a) == a) & (R(v))) & (Implies(S(c, a), P(v, c, b))))","For all b, m(a) equals a and R of v and If S of c and a, then P of v and c and b."
R(y),R of y.
"ForAll(v, S(w))","For all v, S of w."
"ForAll(v, Exists(u, (P(a, v)) | (R(w, a))))","For all v, There exists an u such that P of a and v or R of w and a."
"Exists(a, Equivalent((h(w, b) == z) | (g(a) == w), (f(v) == u) | (f(c) == z)))","There exists an a such that h(w, b) equals z or g(a) equals w if and only if f(v) equals u or f(c) equals z."
"ForAll(z, f(x, z) == a)","For all z, f(x, z) equals a."
"Exists(x, ForAll(z, (Equivalent(W(b), k(u, v) == w)) | (Implies(f(c) == y, h(x, z) == c))))","There exists an x such that For all z, W of b if and only if k(u, v) equals w or If f(c) equals y, then h(x, z) equals c."
"g(b, a) == z","g(b, a) equals z."
"(T(y, z)) | (V(y))",T of y and z or V of y.
"ForAll(a, ~(Implies(V(u, b), k(y) == a)))","For all a, not (If V of u and b, then k(y) equals a)."
"ForAll(a, Implies(Implies(m(c, y) == w, R(u)), (V(y, u, c)) & (g(u) == v)))","For all a, If If m(c, y) equals w, then R of u, then V of y and u and c and g(u) equals v."
"ForAll(a, Implies(k(v) == a, Q(b, y)))","For all a, If k(v) equals a, then Q of b and y."
"ForAll(b, R(c, a))","For all b, R of c and a."
"ForAll(b, Implies(~((W(c, w, a)) & (h(y, z) == a)), (Implies(g(a, x) == b, W(b))) | (~(h(w, v) == x))))","For all b, If not (W of c and w and a and h(y, z) equals a), then If g(a, x) equals b, then W of b or not (h(w, v) equals x)."
"ForAll(z, (~(P(c, a))) & ((Q(z, c, w)) & (k(w, b) == u)))","For all z, not (P of c and a) and Q of z and c and w and k(w, b) equals u."
"ForAll(v, m(w) == v)","For all v, m(w) equals v."
"ForAll(w, f(v) == v)","For all w, f(v) equals v."
"ForAll(z, Equivalent(Equivalent(Equivalent(P(a, z), h(a) == u), Implies(h(w, y) == u, U(u, y, v))), Implies((m(b, x) == w) | (h(z, b) == b), Implies(k(y) == b, U(v)))))","For all z, P of a and z if and only if h(a) equals u if and only if If h(w, y) equals u, then U of u and y and v if and only if If m(b, x) equals w or h(z, b) equals b, then If k(y) equals b, then U of v."
"ForAll(y, (k(v) == c) & (R(a, y)))","For all y, k(v) equals c and R of a and y."
"ForAll(u, Equivalent((m(w, u) == a) | (h(w) == c), Equivalent(k(b, z) == z, f(b, z) == y)))","For all u, m(w, u) equals a or h(w) equals c if and only if k(b, z) equals z if and only if f(b, z) equals y."
"Implies(V(x, w, v), W(y))","If V of x and w and v, then W of y."
"ForAll(v, (Equivalent((U(u, z)) | (g(z, v) == y), (g(u, z) == b) & (g(b) == y))) | ((Implies(f(v, y) == c, k(v) == a)) | (Implies(k(y) == z, R(w, a, c)))))","For all v, U of u and z or g(z, v) equals y if and only if g(u, z) equals b and g(b) equals y or If f(v, y) equals c, then k(v) equals a or If k(y) equals z, then R of w and a and c."
"Exists(w, f(b, u) == v)","There exists an w such that f(b, u) equals v."
"ForAll(u, (((T(x)) | (U(v, c))) & ((k(v, z) == z) | (k(u, x) == u))) | ((Equivalent(k(w) == z, k(z, b) == z)) | (~(S(v, u)))))","For all u, T of x or U of v and c and k(v, z) equals z or k(u, x) equals u or k(w) equals z if and only if k(z, b) equals z or not (S of v and u)."
"Exists(z, (Implies(S(u, w, b), Q(w, y))) | ((W(c)) | (T(z))))","There exists an z such that If S of u and w and b, then Q of w and y or W of c or T of z."
"ForAll(u, m(y, u) == y)","For all u, m(y, u) equals y."
"Equivalent(k(c) == x, W(y))",k(c) equals x if and only if W of y.
"ForAll(b, ~(W(v, x, c)))","For all b, not (W of v and x and c)."
"Exists(b, (f(a, v) == b) | (m(c, v) == v))","There exists an b such that f(a, v) equals b or m(c, v) equals v."
"ForAll(y, P(w, b))","For all y, P of w and b."
"Exists(x, (~((m(u) == y) & (T(w, b)))) & (Equivalent(Equivalent(R(w, z, y), g(z) == w), Equivalent(g(b, v) == w, h(w, b) == v))))","There exists an x such that not (m(u) equals y and T of w and b) and R of w and z and y if and only if g(z) equals w if and only if g(b, v) equals w if and only if h(w, b) equals v."
"Exists(z, ForAll(w, (Equivalent((f(u) == v) | (f(a, c) == w), Implies(h(y) == u, k(x, a) == b))) | (~(~(h(b, v) == y)))))","There exists an z such that For all w, f(u) equals v or f(a, c) equals w if and only if If h(y) equals u, then k(x, a) equals b or not (not (h(b, v) equals y))."
"ForAll(w, Exists(u, Implies(Q(b, u, z), m(x, z) == y)))","For all w, There exists an u such that If Q of b and u and z, then m(x, z) equals y."
"Exists(c, (((h(z) == y) & (k(x, c) == c)) & ((U(c, b, z)) | (f(y) == c))) | (Implies(Implies(V(v), k(w) == y), (f(v, x) == a) | (U(a)))))","There exists an c such that h(z) equals y and k(x, c) equals c and U of c and b and z or f(y) equals c or If If V of v, then k(w) equals y, then f(v, x) equals a or U of a."
"ForAll(z, (((m(u) == z) | (g(x) == c)) | ((U(u, c)) | (R(a, v)))) | ((~(f(x, b) == u)) & (~(k(u) == a))))","For all z, m(u) equals z or g(x) equals c or U of u and c or R of a and v or not (f(x, b) equals u) and not (k(u) equals a)."
"Exists(c, Exists(b, ~(m(w, a) == u)))","There exists an c such that There exists an b such that not (m(w, a) equals u)."
"Exists(v, ForAll(w, f(a) == a))","There exists an v such that For all w, f(a) equals a."
h(y) == a,h(y) equals a.
"ForAll(b, ForAll(z, Implies(Equivalent(S(z), R(z)), (S(v, w, c)) | (g(z, c) == c))))","For all b, For all z, If S of z if and only if R of z, then S of v and w and c or g(z, c) equals c."
"(h(x, c) == w) | (f(a) == x)","h(x, c) equals w or f(a) equals x."
"Exists(z, Exists(a, g(a) == y))",There exists an z such that There exists an a such that g(a) equals y.
"Exists(u, ForAll(b, k(v, z) == w))","There exists an u such that For all b, k(v, z) equals w."
"Exists(w, (S(y)) | (V(v, y, b)))",There exists an w such that S of y or V of v and y and b.
"Implies(Equivalent((g(a, w) == z) & (f(z) == x), Equivalent(V(w), W(b, w, y))), ((m(y, v) == c) & (g(w, b) == c)) & ((m(y, w) == a) & (S(b))))","If g(a, w) equals z and f(z) equals x if and only if V of w if and only if W of b and w and y, then m(y, v) equals c and g(w, b) equals c and m(y, w) equals a and S of b."
"Exists(u, ((R(a, u, y)) | (S(w))) | ((U(c, u, w)) | (R(y, z))))",There exists an u such that R of a and u and y or S of w or U of c and u and w or R of y and z.
"Exists(z, ForAll(x, ~((h(c, a) == b) | (g(x, y) == v))))","There exists an z such that For all x, not (h(c, a) equals b or g(x, y) equals v)."
"Exists(y, Exists(z, (V(z)) | (k(u) == w)))",There exists an y such that There exists an z such that V of z or k(u) equals w.
"Exists(v, Equivalent(T(w, x, c), T(c, y, a)))",There exists an v such that T of w and x and c if and only if T of c and y and a.
"Exists(y, g(w) == v)",There exists an y such that g(w) equals v.
"Implies((Implies(h(c) == y, g(a, c) == x)) | (Equivalent(h(a, v) == w, W(u))), ((W(c, a, v)) | (f(y) == y)) & ((k(w) == b) | (V(x, u))))","If If h(c) equals y, then g(a, c) equals x or h(a, v) equals w if and only if W of u, then W of c and a and v or f(y) equals y and k(w) equals b or V of x and u."
"(Equivalent((h(w, u) == v) | (W(v, z)), (k(z, b) == y) & (m(w) == v))) & (((S(v, b)) & (h(w, z) == z)) | (~(m(c, z) == a)))","h(w, u) equals v or W of v and z if and only if k(z, b) equals y and m(w) equals v and S of v and b and h(w, z) equals z or not (m(c, z) equals a)."
"Exists(y, (~((k(a) == y) | (S(b, x)))) | (Implies((f(u, c) == u) & (g(x) == v), Implies(k(c, u) == a, m(v, w) == v))))","There exists an y such that not (k(a) equals y or S of b and x) or If f(u, c) equals u and g(x) equals v, then If k(c, u) equals a, then m(v, w) equals v."
"ForAll(b, Equivalent(R(y, b, v), f(w) == c))","For all b, R of y and b and v if and only if f(w) equals c."
"Exists(b, Exists(a, (Equivalent(Implies(W(c), W(z, y)), ~(m(x, b) == a))) & (((h(c) == a) & (f(w) == y)) & (Implies(S(u, z, a), W(y))))))","There exists an b such that There exists an a such that If W of c, then W of z and y if and only if not (m(x, b) equals a) and h(c) equals a and f(w) equals y and If S of u and z and a, then W of y."
"ForAll(u, (T(w)) | (V(v, b, x)))","For all u, T of w or V of v and b and x."
"Exists(z, ForAll(z, ((k(c) == v) & (P(w, y, b))) | ((U(a)) | (f(y, z) == u))))","There exists an z such that For all z, k(c) equals v and P of w and y and b or U of a or f(y, z) equals u."
"Exists(x, Implies(((P(x, y)) & (h(w) == z)) | ((U(b, a, c)) | (f(w) == u)), Equivalent((f(x, b) == y) | (m(c, u) == v), Equivalent(V(a, c), f(x, b) == y))))","There exists an x such that If P of x and y and h(w) equals z or U of b and a and c or f(w) equals u, then f(x, b) equals y or m(c, u) equals v if and only if V of a and c if and only if f(x, b) equals y."
T(c),T of c.
"ForAll(x, Equivalent(Implies(V(u, w), V(c, z, v)), (Q(b)) | (U(y))))","For all x, If V of u and w, then V of c and z and v if and only if Q of b or U of y."
"Exists(v, Exists(v, Implies(Equivalent((U(z)) | (g(a, x) == z), (k(u, v) == a) & (k(v, u) == b)), ~((S(y, c, x)) | (Q(z, w))))))","There exists an v such that There exists an v such that If U of z or g(a, x) equals z if and only if k(u, v) equals a and k(v, u) equals b, then not (S of y and c and x or Q of z and w)."
~(~(W(u))),not (not (W of u)).
"ForAll(u, ForAll(y, k(y) == u))","For all u, For all y, k(y) equals u."
"((~(S(u, w, x))) & (Implies(T(z, w), g(a) == a))) & (Implies((k(b) == y) & (m(z) == c), ~(P(z, w))))","not (S of u and w and x) and If T of z and w, then g(a) equals a and If k(b) equals y and m(z) equals c, then not (P of z and w)."
"Exists(y, V(x))",There exists an y such that V of x.
"ForAll(b, Exists(b, Implies(Q(x, b, v), h(b, u) == b)))","For all b, There exists an b such that If Q of x and b and v, then h(b, u) equals b."
"Exists(z, Implies(Equivalent(T(z, w), T(z, x)), Equivalent(R(w, u), k(b, c) == b)))","There exists an z such that If T of z and w if and only if T of z and x, then R of w and u if and only if k(b, c) equals b."
"Exists(v, (S(w, b, v)) & (h(u, a) == z))","There exists an v such that S of w and b and v and h(u, a) equals z."
"~(((V(c, a, y)) | (f(a) == z)) & ((V(w)) & (g(b) == w)))",not (V of c and a and y or f(a) equals z and V of w and g(b) equals w).
"ForAll(u, Q(w, c))","For all u, Q of w and c."
"Equivalent((m(b, w) == z) & (f(z) == z), Equivalent(g(v, u) == y, f(z) == a))","m(b, w) equals z and f(z) equals z if and only if g(v, u) equals y if and only if f(z) equals a."
"ForAll(w, Exists(w, k(b) == x))","For all w, There exists an w such that k(b) equals x."
"Exists(v, ForAll(u, T(a)))","There exists an v such that For all u, T of a."
"Exists(c, ForAll(c, m(x, a) == z))","There exists an c such that For all c, m(x, a) equals z."
"Exists(w, h(x) == u)",There exists an w such that h(x) equals u.
k(w) == c,k(w) equals c.
"ForAll(v, V(u, b))","For all v, V of u and b."
"ForAll(a, (((k(z, w) == v) & (h(y, b) == y)) | (~(S(y)))) | (Equivalent(Equivalent(Q(x), U(y, z, v)), (f(x) == z) & (Q(y)))))","For all a, k(z, w) equals v and h(y, b) equals y or not (S of y) or Q of x if and only if U of y and z and v if and only if f(x) equals z and Q of y."
"((W(z, b, c)) & (R(c, x))) | (Implies(R(c, u), Q(u, z, a)))","W of z and b and c and R of c and x or If R of c and u, then Q of u and z and a."
"Exists(w, Equivalent(Equivalent(g(v, w) == u, h(y) == x), Implies(V(y, b, x), U(y, v))))","There exists an w such that g(v, w) equals u if and only if h(y) equals x if and only if If V of y and b and x, then U of y and v."
"ForAll(b, Equivalent((Equivalent(R(x), k(b, w) == a)) & (Implies(V(a, x, c), V(z, a))), Equivalent((R(u)) | (V(b)), Equivalent(W(a), T(u, c)))))","For all b, R of x if and only if k(b, w) equals a and If V of a and x and c, then V of z and a if and only if R of u or V of b if and only if W of a if and only if T of u and c."
f(w) == b,f(w) equals b.
"Exists(x, Implies(Implies(~(g(v, a) == y), (h(w) == b) | (U(a, u))), (Equivalent(k(c, w) == w, S(u, c))) | (Equivalent(Q(a, z), f(b, v) == y))))","There exists an x such that If If not (g(v, a) equals y), then h(w) equals b or U of a and u, then k(c, w) equals w if and only if S of u and c or Q of a and z if and only if f(b, v) equals y."
"Implies(((m(v) == w) & (m(u) == y)) & (Implies(T(u, a, c), T(u, z))), ~(Equivalent(f(b, z) == b, W(w, y, z))))","If m(v) equals w and m(u) equals y and If T of u and a and c, then T of u and z, then not (f(b, z) equals b if and only if W of w and y and z)."
"Exists(z, Equivalent((Equivalent(P(w), h(w) == a)) | ((g(x, v) == w) | (R(b, y, x))), ~((U(w)) & (f(w, y) == b))))","There exists an z such that P of w if and only if h(w) equals a or g(x, v) equals w or R of b and y and x if and only if not (U of w and f(w, y) equals b)."
"ForAll(c, R(y, v))","For all c, R of y and v."
"ForAll(z, S(b, x, c))","For all z, S of b and x and c."
"Exists(x, (k(x, v) == b) | (m(x) == u))","There exists an x such that k(x, v) equals b or m(x) equals u."
"ForAll(x, Equivalent(Equivalent(m(a) == u, T(v, w, c)), Equivalent(T(w, u, z), k(v) == b)))","For all x, m(a) equals u if and only if T of v and w and c if and only if T of w and u and z if and only if k(v) equals b."
"Exists(y, Equivalent(Implies(Implies(T(u, v, z), f(v) == u), ~(S(b, a))), ((W(c, v)) & (Q(x))) | ((P(v, b)) | (m(y) == x))))","There exists an y such that If If T of u and v and z, then f(v) equals u, then not (S of b and a) if and only if W of c and v and Q of x or P of v and b or m(y) equals x."
"ForAll(b, Exists(v, Equivalent(~(T(z)), (P(b)) | (Q(y)))))","For all b, There exists an v such that not (T of z) if and only if P of b or Q of y."
"ForAll(x, Q(a))","For all x, Q of a."
"ForAll(x, Exists(b, Implies(Equivalent((P(y, v, w)) | (k(v) == x), Implies(f(a) == c, P(v, w, x))), (Implies(h(w) == w, V(w, b, z))) | (~(m(w, a) == y)))))","For all x, There exists an b such that If P of y and v and w or k(v) equals x if and only if If f(a) equals c, then P of v and w and x, then If h(w) equals w, then V of w and b and z or not (m(w, a) equals y)."
"Exists(c, Implies(Equivalent(U(c, z, a), V(y)), Implies(Q(x, v, b), S(w, b, x))))","There exists an c such that If U of c and z and a if and only if V of y, then If Q of x and v and b, then S of w and b and x."
"ForAll(a, Equivalent(((W(z)) | (P(c, y, u))) & (Implies(g(v, u) == c, P(x))), Equivalent(Implies(T(b), U(a, x)), Implies(g(a, b) == x, U(w, x)))))","For all a, W of z or P of c and y and u and If g(v, u) equals c, then P of x if and only if If T of b, then U of a and x if and only if If g(a, b) equals x, then U of w and x."
"ForAll(b, Exists(y, (Equivalent(P(b, y), h(y) == u)) & ((g(x, w) == v) | (V(y, x, w)))))","For all b, There exists an y such that P of b and y if and only if h(y) equals u and g(x, w) equals v or V of y and x and w."
"Implies(Implies(Q(c, b), T(z, x)), (f(y) == u) & (g(a) == z))","If If Q of c and b, then T of z and x, then f(y) equals u and g(a) equals z."
"Exists(y, Implies(Equivalent(g(y, c) == z, P(b, c, z)), ~(m(a) == b)))","There exists an y such that If g(y, c) equals z if and only if P of b and c and z, then not (m(a) equals b)."
"ForAll(z, U(b, a))","For all z, U of b and a."
"Exists(c, Q(z))",There exists an c such that Q of z.
"ForAll(w, (Equivalent(V(y, x, c), T(z))) & (~(P(y, v, b))))","For all w, V of y and x and c if and only if T of z and not (P of y and v and b)."
"ForAll(y, (W(b)) | (g(z) == a))","For all y, W of b or g(z) equals a."
"Exists(v, ((Equivalent(V(w, u, a), k(a) == x)) | (~(k(u, z) == b))) & (Implies(Implies(f(x, a) == y, P(w, v, u)), Equivalent(h(v, b) == c, m(b) == w))))","There exists an v such that V of w and u and a if and only if k(a) equals x or not (k(u, z) equals b) and If If f(x, a) equals y, then P of w and v and u, then h(v, b) equals c if and only if m(b) equals w."
"Implies((g(w) == v) | (m(v, c) == a), (g(c, w) == u) | (T(u)))","If g(w) equals v or m(v, c) equals a, then g(c, w) equals u or T of u."
"ForAll(v, Equivalent(Equivalent((m(z, v) == y) | (V(x, y)), (k(c, v) == c) & (P(a, b))), Implies((Q(w)) & (Q(v)), Implies(g(a) == u, Q(w)))))","For all v, m(z, v) equals y or V of x and y if and only if k(c, v) equals c and P of a and b if and only if If Q of w and Q of v, then If g(a) equals u, then Q of w."
"ForAll(u, ((g(a) == u) & (T(b))) | (~(g(b) == z)))","For all u, g(a) equals u and T of b or not (g(b) equals z)."
"ForAll(u, (Implies(k(u) == y, k(z, a) == a)) | (Equivalent(k(w, x) == b, m(w) == z)))","For all u, If k(u) equals y, then k(z, a) equals a or k(w, x) equals b if and only if m(w) equals z."
"ForAll(x, (Equivalent(g(b, x) == u, f(w, c) == a)) | ((k(a) == v) | (U(v, b))))","For all x, g(b, x) equals u if and only if f(w, c) equals a or k(a) equals v or U of v and b."
"Exists(z, Equivalent(Implies(~(P(v)), ~(k(v) == z)), (Equivalent(h(c) == y, P(z, v, b))) & ((P(u)) | (Q(v)))))","There exists an z such that If not (P of v), then not (k(v) equals z) if and only if h(c) equals y if and only if P of z and v and b and P of u or Q of v."
"Equivalent(P(w), P(c, x))",P of w if and only if P of c and x.
"Exists(z, g(u) == w)",There exists an z such that g(u) equals w.
"Exists(b, ForAll(x, P(y)))","There exists an b such that For all x, P of y."
"Exists(a, ((Implies(m(c, w) == a, g(z, x) == u)) | (Equivalent(V(a, c, z), f(b, u) == x))) & (Implies(Equivalent(T(a, u, y), W(v)), Implies(h(b) == z, R(y)))))","There exists an a such that If m(c, w) equals a, then g(z, x) equals u or V of a and c and z if and only if f(b, u) equals x and If T of a and u and y if and only if W of v, then If h(b) equals z, then R of y."
"Exists(c, h(x, b) == y)","There exists an c such that h(x, b) equals y."
~(T(x)),not (T of x).
"ForAll(c, Equivalent(f(a, w) == b, h(x, y) == b))","For all c, f(a, w) equals b if and only if h(x, y) equals b."
"U(b, v)",U of b and v.
"~(h(u, x) == x)","not (h(u, x) equals x)."
"Exists(y, (R(a, v)) & (Q(z)))",There exists an y such that R of a and v and Q of z.
"Exists(u, Implies(W(y, c, w), h(b, v) == c))","There exists an u such that If W of y and c and w, then h(b, v) equals c."
